PlantID,DeviceID,Timestamp,Temperature_C,Humidity_%,Vibration_mm_s,Pressure_bar,Energy_kWh,Status
PL01,DV001,2025-08-15T00:00:00Z,75.2,45,0.12,1.01,5.5,OK
PL01,DV002,2025-08-15T00:05:00Z,76.0,44,0.15,1.03,5.6,OK
PL02,DV003,2025-08-15T00:10:00Z,74.8,46,0.10,1.00,5.4,WARNING
PL02,DV004,2025-08-15T00:15:00Z,77.1,43,0.18,1.02,5.7,ALERT
PL01,DV005,2025-08-15T00:20:00Z,75.5,45,0.11,1.01,5.5,OK
PL01,DV006,2025-08-15T00:25:00Z,76.3,42,0.14,1.03,5.6,OK
PL02,DV007,2025-08-15T00:30:00Z,74.9,46,0.13,1.00,5.4,WARNING
PL02,DV008,2025-08-15T00:35:00Z,77.0,44,0.16,1.02,5.7,ALERT
PL01,DV009,2025-08-15T00:40:00Z,75.4,45,0.12,1.01,5.5,OK
PL01,DV010,2025-08-15T00:45:00Z,76.1,43,0.15,1.03,5.6,OK
PL02,DV011,2025-08-15T00:50:00Z,74.7,46,0.11,1.00,5.4,WARNING
PL02,DV012,2025-08-15T00:55:00Z,77.2,44,0.18,1.02,5.7,ALERT
PL01,DV013,2025-08-15T01:00:00Z,75.3,45,0.12,1.01,5.5,OK
PL01,DV014,2025-08-15T01:05:00Z,76.2,42,0.14,1.03,5.6,OK
PL02,DV015,2025-08-15T01:10:00Z,74.8,46,0.13,1.00,5.4,WARNING
PL02,DV016,2025-08-15T01:15:00Z,77.1,43,0.17,1.02,5.7,ALERT
PL01,DV017,2025-08-15T01:20:00Z,75.5,45,0.11,1.01,5.5,OK
PL01,DV018,2025-08-15T01:25:00Z,76.3,44,0.15,1.03,5.6,OK
PL02,DV019,2025-08-15T01:30:00Z,74.9,46,0.12,1.00,5.4,WARNING
PL02,DV020,2025-08-15T01:35:00Z,77.0,43,0.16,1.02,5.7,ALERT
